City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Coahuayana,MX,2021-05-16 20:31:17,18.7333,-103.6833,91.4,43,40,6.91
238,Nacimiento,CL,2021-05-16 20:33:06,-37.5,-72.6667,64.4,45,0,5.75
239,Vallenar,CL,2021-05-16 20:33:06,-28.5708,-70.7581,81.12,32,87,5.59
240,San Ramon,US,2021-05-16 20:33:07,37.7799,-121.978,72.0,43,1,16.11
241,Roma,US,2021-05-16 20:27:34,43.2128,-75.4557,73.4,25,1,8.52
242,Airai,TL,2021-05-16 20:30:20,-8.9266,125.4092,55.02,78,31,3.44
243,Banda Aceh,ID,2021-05-16 20:33:07,5.5577,95.3222,80.82,80,99,5.59
244,Meulaboh,ID,2021-05-16 20:31:56,4.1363,96.1285,78.08,89,100,6.17
245,Linxia,CN,2021-05-16 20:31:05,35.6003,103.2064,48.47,48,100,3.15
246,Talnakh,RU,2021-05-16 20:30:37,69.4865,88.3972,17.19,96,100,4.09
247,Rabo De Peixe,PT,2021-05-16 20:33:08,37.8,-25.5833,66.2,94,40,10.36
248,Den Helder,NL,2021-05-16 20:28:30,52.9599,4.7593,50.0,87,45,4.61
249,Atocha,BO,2021-05-16 20:33:08,-20.9333,-66.2333,51.91,14,0,9.82
250,Neiafu,TO,2021-05-16 20:33:08,-18.65,-173.9833,82.4,74,40,6.91
251,Tawau,MY,2021-05-16 20:33:09,4.2498,117.8871,77.0,94,20,2.3
252,Potiskum,NG,2021-05-16 20:33:09,11.7091,11.0694,88.86,18,39,6.96
253,Cascais,PT,2021-05-16 20:33:09,38.6979,-9.4215,64.0,88,40,10.36
254,Padang,ID,2021-05-16 20:30:26,-0.9492,100.3543,78.04,88,100,3.67
255,Koygorodok,RU,2021-05-16 20:33:09,60.445,50.9968,58.1,88,1,6.44
256,Katobu,ID,2021-05-16 20:33:10,-4.9408,122.5276,74.08,92,79,3.49
257,Svetlogorsk,BY,2021-05-16 20:33:10,52.6333,29.7333,56.17,91,100,5.77
258,Tilichiki,RU,2021-05-16 20:33:10,60.4667,166.1,29.66,84,100,7.49
259,Pochutla,MX,2021-05-16 20:33:11,15.7432,-96.4661,91.99,55,90,11.5
260,Saint-Pierre,RE,2021-05-16 20:33:11,-21.3393,55.4781,73.4,56,0,9.22
261,Muisne,EC,2021-05-16 20:33:11,0.6,-80.0333,84.2,79,75,8.05
262,Saint George,US,2021-05-16 20:25:26,37.1041,-113.5841,84.0,11,1,6.91
263,Slonim,BY,2021-05-16 20:33:12,53.0867,25.3219,56.59,94,100,15.23
264,Ostrovnoy,RU,2021-05-16 20:33:12,68.0531,39.5131,34.7,85,100,5.39
265,Georgetown,MY,2021-05-16 20:29:59,5.4112,100.3354,82.0,94,20,3.44
266,Mazyr,BY,2021-05-16 20:31:16,52.0495,29.2456,56.03,91,100,5.59
267,Hasaki,JP,2021-05-16 20:30:31,35.7333,140.8333,73.4,88,75,12.66
268,Nome,US,2021-05-16 20:30:52,64.5011,-165.4064,42.01,70,1,9.22
269,Axim,GH,2021-05-16 20:32:09,4.8699,-2.2405,81.12,79,100,10.4
270,Kokkola,FI,2021-05-16 20:33:13,63.8385,23.1307,42.01,100,0,4.61
271,Loughborough,GB,2021-05-16 20:33:13,52.7667,-1.2,50.0,93,75,3.44
272,Sao Joao Da Barra,BR,2021-05-16 20:32:14,-21.6403,-41.0511,75.2,69,0,9.22
273,Koungou,YT,2021-05-16 20:31:59,-12.7336,45.2042,77.0,83,0,4.61
274,Atkinson,US,2021-05-16 20:33:13,42.8384,-71.147,75.2,25,20,8.05
275,Bozova,TR,2021-05-16 20:33:14,37.3625,38.5267,66.2,42,0,10.36
276,Palauig,PH,2021-05-16 20:33:14,15.435,119.9045,82.08,70,55,4.74
277,Banjar,ID,2021-05-16 20:33:14,-8.19,114.9675,80.6,89,40,11.5
278,Baleshwar,IN,2021-05-16 20:33:14,21.4942,86.9317,83.93,78,5,11.05
279,Kosh-Agach,RU,2021-05-16 20:33:15,50.0,88.6667,45.99,59,1,2.44
280,Acajutla,SV,2021-05-16 20:33:15,13.5928,-89.8275,93.2,38,20,6.91
281,Tigzirt,DZ,2021-05-16 20:33:15,36.8886,4.1198,70.45,47,0,5.06
282,North Bend,US,2021-05-16 20:33:15,43.4065,-124.2243,59.0,77,75,18.41
283,Dagana,MR,2021-05-16 20:33:16,16.5165,-15.5068,104.0,15,0,2.3
284,Sinnamary,GF,2021-05-16 20:33:16,5.3833,-52.95,78.76,87,100,9.08
285,Simao,CN,2021-05-16 20:33:16,22.7886,100.9748,64.87,69,100,1.54
286,Constitucion,CL,2021-05-16 20:31:29,-35.3333,-72.4167,61.25,60,97,7.65
287,Petropavlovka,RU,2021-05-16 20:33:17,50.6114,105.3196,48.56,71,43,4.12
288,Russkaya Polyana,UA,2021-05-16 20:33:17,49.417,31.9201,60.69,79,55,8.46
289,Oranjestad,AW,2021-05-16 20:30:12,12.524,-70.027,86.0,70,40,25.32
290,Lasa,IT,2021-05-16 20:31:51,46.6166,10.7002,62.6,93,40,3.44
291,Pingliang,CN,2021-05-16 20:33:17,35.5392,106.6861,50.31,49,95,1.52
292,Vao,NC,2021-05-16 20:33:18,-22.6667,167.4833,73.62,67,27,10.8
293,Luang Prabang,LA,2021-05-16 20:33:18,19.8856,102.1347,74.84,84,60,1.61
