City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Menomonie,US,76.39,broken clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
523,Half Moon Bay,US,73.35,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
525,Maua,BR,71.89,few clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
527,Normandin,CA,71.92,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
531,Natal,BR,76.75,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
535,La Primavera,CO,79.41,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
537,Hamilton,US,83.61,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
539,Pitangueiras,BR,70.32,clear sky,-21.0094,-48.2217,Taboca's Hotel
540,Tazmalt,DZ,73.26,broken clouds,36.3868,4.3989,Hôtel Numédia
541,Alta Floresta,BR,77.18,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
542,Shorewood,US,84.15,scattered clouds,41.52,-88.2017,Wingate by Wyndham Joliet
545,Nicoya,CR,87.35,overcast clouds,10.1483,-85.45200000000001,Guayacan Real
546,Eirunepe,BR,74.53,heavy intensity rain,-6.6603,-69.8736,Atrás de você
547,Manokwari,ID,80.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
553,Boca Do Acre,BR,75.52,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
561,Dicabisagan,PH,82.8,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
563,Namatanai,PG,82.67,light rain,-3.6667,152.4333,Namatanai Hotel
568,Hobyo,SO,79.27,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
572,Ilheus,BR,73.11,few clouds,-14.7889,-39.0494,Barravento Hotel
576,Corumba,BR,87.53,overcast clouds,-19.0092,-57.6533,Hotel Laura Vicunha
579,Conakry,GN,81.54,light rain,9.538,-13.6773,Riviera Royal Hotel
580,Duluth,US,80.04,scattered clouds,46.7833,-92.1066,South Pier Inn
582,Pedernales,DO,83.3,overcast clouds,18.0384,-71.744,Hotel Costa Marina
584,State College,US,86.65,scattered clouds,40.7934,-77.86,Hampton Inn State College
586,Makat,KZ,73.74,clear sky,47.6469,53.3463,Umit
589,Junction City,US,80.4,broken clouds,39.0286,-96.8314,Comfort Inn & Suites Junction City - Near Fort Riley
591,Norfolk,US,80.55,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
593,Topolobampo,MX,89.06,scattered clouds,25.6,-109.05,Hotel Marina Topolobampo
594,Tutoia,BR,79.39,few clouds,-2.7619,-42.2744,Pousada Guará's
596,Puerto Carreno,CO,84.76,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
603,Las Choapas,MX,84.25,scattered clouds,17.9333,-94.0833,Hotel Jysmak
604,Khash,IR,70.79,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
605,Altagracia De Orituco,VE,78.73,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
607,Kearney,US,79.0,scattered clouds,40.6995,-99.0815,Holiday Inn Kearney
608,Castelo Do Piaui,BR,79.09,scattered clouds,-5.3222,-41.5525,Nobre Hotel
612,Elk City,US,81.28,scattered clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
613,Jizan,SA,86.63,clear sky,17.3333,42.6667,شهدان. ابوالحجر
616,Muisne,EC,77.02,overcast clouds,0.6,-80.0333,Quinta Samay
617,Langfang,CN,79.14,clear sky,39.5097,116.6947,Wanda Realm Langfang
618,Shirgaon,IN,83.95,broken clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
620,Kothapet,IN,83.14,broken clouds,19.3333,79.4833,Andhavelly Village
622,Fillmore,US,78.49,scattered clouds,43.6666,-92.1002,Country Trails Inn & Suites
623,Baraboo,US,71.74,overcast clouds,43.4711,-89.7443,Thunderbird Motor Inn
624,Honiara,SB,83.91,overcast clouds,-9.4333,159.95,Heritage Park Hotel
627,Kanigoro,ID,72.32,scattered clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
628,Tianpeng,CN,70.63,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
631,Buala,SB,83.8,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
634,Saint Pete Beach,US,86.05,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
635,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
636,Canon City,US,79.95,clear sky,38.441,-105.2424,Travel Inn Motel
637,Baoqing,CN,72.3,scattered clouds,46.3317,132.2111,Baoqing Hotel
638,Celestun,MX,76.06,overcast clouds,20.8667,-90.4,Posada Lilia
